Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7,Serial #8,Date #8,Serial #9,Date #9,Serial #10,Date #10,Serial #11,Date #11,Serial #12,Date #12,Serial #13,Date #13,Serial #14,Date #14
CTHUZC,30,5A28002331,6118003124,2018-07-29,6111001627,2018-09-21,5A28001052,2018-12-21,,,,,,,,,,,,,,,,,,,,
YREKSP,30,6115002395,6115000382,2018-01-31,5A27001618,2018-07-29,6116001175,2018-09-21,6118002989,2018-12-21,,,,,,,,,,,,,,,,,,
SPARE,30,6116000886,6116002168,2018-07-29,6116001145,2018-09-21,6126000735,2018-12-21,,,,,,,,,,,,,,,,,,,,
PRPCGE,31,6118001678,6118002893,2018-07-29,5A27000462,2018-09-21,5A21001111,2018-12-21,,,,,,,,,,,,,,,,,,,,
YBNMTA,31,6116002449,6111991962,2018-03-05,6116002431,2018-07-29,5A27000731,2018-09-21,5A27000972,2018-12-21,,,,,,,,,,,,,,,,,,
TYMSWU,31,6116001822,5A28002196,2018-07-29,5A28001119,2018-09-21,5B20002420,2018-12-21,,,,,,,,,,,,,,,,,,,,
NZUXAK,31,6111001923,5A27000134,2018-05-21,5B12003456,2018-07-29,6111000253,2018-09-21,6116001922,2018-12-21,,,,,,,,,,,,,,,,,,
MRQEQQ,31,6112001157,6116001109,2018-05-21,5B12004704,2018-07-29,5A29001407,2018-09-21,5A29000683,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,31,5A28000942,6116001755,2018-07-29,5B04000194,2018-09-21,6118003507,2018-12-21,,,,,,,,,,,,,,,,,,,,
EXTRA,31,6115000616,5B20001145,2018-07-29,6113000363,2018-09-21,6118002618,2018-12-21,,,,,,,,,,,,,,,,,,,,
EXTRA,31,6111000586,6113000722,2018-04-03,6116001350,2018-04-10,6111000579,2018-04-16,6111001666,2018-07-29,6116002436,2018-09-21,6116000854,2018-12-21,,,,,,,,,,,,,,
EXTRA,31,5A28000884,6116002472,2018-07-29,6116001420,2018-09-21,5A27001307,2018-12-21,,,,,,,,,,,,,,,,,,,,
EXTRA,31,6114000017,5A29001265,2018-07-29,6116001527,2018-09-10,5A28001065,2018-09-21,5B04000073,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,31,6116001652,6115001558,2018-06-11,6126000113,2018-07-29,5A22000854,2018-09-21,6116001756,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,31,5A22000832,6116001292,2018-07-29,6118002284,2018-09-10,5B13000692,2018-09-21,5B20001950,2018-12-21,,,,,,,,,,,,,,,,,,
EXTRA,31,6118002610,6116001100,2018-07-29,5A29001262,2018-09-21,6118001962,2018-12-21,,,,,,,,,,,,,,,,,,,,
