serial_number,closest_match,closest_match_percentage
6129000660,6109000660,0.8
6129000998,6129000692,0.8
6129001067,6129001065,0.9
6129001089,6129001885,0.8
6129001095,6129001065,0.8
6129001107,6129001903,0.8
6129001109,6129001903,0.8
6129001125,6129001165,0.8
6129001130,6129001165,0.8
6129001144,6129001165,0.8
6129001151,6129001165,0.8
6129001189,6129001165,0.8
6129001191,6129001165,0.8
6129001192,6129001165,0.8
6129001212,6129001284,0.8
6129001258,6129001284,0.8
6129001276,6129001273,0.9
6129001305,6129001903,0.8
6129001313,6129001334,0.8
6129001316,6129001334,0.8
6129001325,6129001334,0.8
6129001326,6129001334,0.8
6129001333,6129001334,0.9
6129001498,6111001491,0.7
6129001713,6116001715,0.7
6129001713,6116001715,0.7
6129001892,6129001885,0.8
6129001892,6129001885,0.8
6129001930,6129001903,0.8
6129002191,6129002158,0.8
6129002191,6129002158,0.8
6129002194,6129002158,0.8
6129002217,6129002223,0.8
6129002259,6129002158,0.8
6129002320,6129002307,0.8
6130000011,6130000110,0.8
6130000041,6130000048,0.9
6130000061,6130000021,0.8
6130000073,6130000021,0.8
6130000075,6130000021,0.8
6130000160,6130000195,0.8
6130000207,6130000195,0.7
6130000207,6130000195,0.7
6130000236,6130000195,0.7
