tablet_serial,storybook_id,start_time,end_time
6116001232,206,950770685,
6116001232,404,950770751,
6116001232,202,950770897,
6116001232,406,950770937,
6116001232,501,950771024,
6116001232,402,950771246,
6116001232,906,950832358,
6116001232,907,950832715,
6116001232,909,950833124,
6116001232,911,950833131,
6116001232,912,950833592,
6116001232,904,950833818,
6116001232,918,950834034,
6116001232,404,950834066,
6116001232,407,950834189,
6116001232,501,950834300,
6116001232,923,950834493,
6116001232,406,950834518,
6116001232,306,950834619,
6116001232,304,950834700,
6116001232,302,950834791,
6116001293,304,946738402,
6116001293,401,947379607,
6116001293,105,947468755,
6116001293,901,947468774,
6116001293,902,947469042,
6116001293,301,947469061,
6116001293,404,947469101,
6116001293,407,947469209,
6116001293,906,947469682,
6116001293,502,947469695,
6116001293,910,947469866,
6116001293,206,947469901,
6116001293,209,947469988,
6116001293,305,947470051,
6116001293,207,947527290,
6116001293,106,947537489,
6116001305,103,946836083,
6116001305,204,946836123,
6116001305,206,946836165,
6116001305,203,946836229,
6116001305,202,946836277,
6116001305,104,946836315,
6116001305,102,946836384,
6116001305,e,946836426,
6116001305,d,946836454,
6116001305,f,946836482,
6116001305,j,946836515,
6116001305,n,946836545,
6116001305,r,946836577,
6116001305,p,946836605,
6116001305,g,947023623,
6116001305,d,947023642,
6116001305,e,947023650,
6116001305,f,947023658,
6116001305,g,947023666,
6116001305,ch,947023681,
6116001305,b,947023692,
6116001305,106,947023706,
6116001305,202,947023876,
6116001305,202,947023892,
6116001305,105,947023954,
6116001305,202,947023971,
6116001305,104,947024023,
6116001305,102,947024042,
6116001305,102,947024058,
6116001305,203,947024073,
6116001305,306,947024092,
6116001305,307,947024104,
6116001305,406,947024122,
6116001305,402,947024135,
6116001305,401,947024172,
6116001305,404,947024182,
6116001305,903,947024194,
6116001305,904,947024212,
6116001305,b,947024230,
6116001305,ch,947024240,
6116001305,d,947024253,
6116001305,e,947024261,
6116001305,e,947024271,
6116001305,i,947024310,
6116001305,112,947024320,
6116001305,113,947024336,
6116001305,116,947024345,
6116001305,117,947024362,
6116001305,117,947024376,
6116001305,118,947024387,
6116001305,108,947024427,
6116001305,207,947024448,
6116001305,303,947024475,
6116001305,305,947024492,
6116001305,905,947024511,
6116001305,501,947024525,
6116001305,907,947024543,
6116001305,206,947024564,
6116001305,211,947026972,
6116001305,210,947027042,
6116001305,305,947027098,
6116001305,209,947027189,
6116001305,402,947027303,
6116001305,407,947027406,
6116001305,403,947027547,
6116001305,401,947027686,
6116001305,404,947027794,
6116001305,306,947027927,
6116001305,307,947028020,
6116001305,304,947028099,
6116001305,305,947028203,
6116001305,303,947028262,
6116001305,208,947038060,
6116001305,102,947040187,
6116001305,203,947040239,
6116001305,204,947040286,
6116001305,206,947040449,
6116001305,206,947040528,
6116001305,206,947040541,
6116001305,206,947040586,
6116001305,206,947040605,
6116001305,205,947040710,
6116001305,207,947040756,
6116001305,107,947040804,
6116001305,103,947040847,
6116001305,105,947040889,
6116001305,201,947040940,
6116001305,102,947040976,
6116001305,106,947041034,
6116001305,101,947041107,
