Child ID,Village ID,Serial #1,Serial #2,Date #2,Serial #3,Date #3,Serial #4,Date #4,Serial #5,Date #5,Serial #6,Date #6,Serial #7,Date #7
UBPMCS,11,6129001306,6116001070,2019-01-11,,,,,,,,,,
HSAWUU,11,6116001817,5B13000889,2019-01-11,,,,,,,,,,
YSYZXH,11,5A29001222,6116002675,2019-01-11,,,,,,,,,,
UTZNHG,11,6118002917,5B13001222,2019-01-11,,,,,,,,,,
EXTRA,11,6115000632,6118001735,2018-06-19,6115001157,2019-01-11,5A28001231,2019-02-19,,,,,,
EXTRA,11,6112000215,6116002579,2019-01-11,,,,,,,,,,
SPARE,11,6118001735,5A28001231,2019-01-11,6118002622,2019-02-21,,,,,,,,
XKQKKE,12,6118003157,6126000165,2018-05-24,6116002186,2019-01-11,,,,,,,,
CYPXWG,12,5B12002951,6116001356,2019-01-11,,,,,,,,,,
ARAZWE,12,5A28000065,6118002125,2019-01-11,,,,,,,,,,
ZUZYPH,12,6115001181,5B20001369,2019-01-11,,,,,,,,,,
GKWPAF,12,6116000919,6130000081,2018-09-19,6118003154,2019-01-11,,,,,,,,
PVAKAT,12,6116001434,6118003394,2019-01-11,,,,,,,,,,
SRXQKE,12,5A27001261,6118002791,2019-01-11,,,,,,,,,,
EXTRA,12,6115001215,6111000253,2019-01-11,,,,,,,,,,
EXTRA,12,6116002077,6116002078,2019-01-11,,,,,,,,,,
SPARE,12,6126000165,6118003589,2019-01-11,,,,,,,,,,
RAGXBW,13,6116000782,6115000437,2019-01-11,,,,,,,,,,
GQUUGW,13,6115000530,5A28000316,2019-01-11,,,,,,,,,,
KGBQMV,13,6115001493,5A23001885,2019-01-11,,,5B12002790,,,,,,,
QRKKSB,13,6116000977,6116002239,2019-01-11,,,,,,,,,,
FWQCPT,13,5A27000666,5B12003062,2019-01-11,,,,,,,,,,
CXVSXR,13,6111001361,6115001503,2019-01-11,,,,,,,,,,
VEZNUW,13,5A28000816,6118003568,2018-10-22,6115001405,2019-01-11,,,,,,,,
SQNUCY,13,6118002282,6116002711,2019-01-11,,,,,,,,,,
MQWHTH,13,5B04000066,6118002828,2019-01-11,,,,,,,,,,
BWEMMQ,13,6116002684,5B12002610,2019-01-11,,,,,,,,,,
AAREUU,13,6129001946,6109000655,2019-01-11,,,,,,,,,,
BGUTZW,13,6116001266,6118002892,2019-01-11,,,,,,,,,,
EYTEZG,13,5A29001253,6116001876,2019-01-11,,,,,,,,,,
GTFUHC,13,5C02000059,6116001026,2018-10-22,6130000073,2018-11-12,6118003095,2018-11-26,6116002323,2019-01-11,,,,
VKCKZZ,13,6115001093,6118002241,2019-01-11,,,,,,,,,,
BRUYQQ,13,6115002272,5B13001202,2018-08-06,5A28001717,2019-01-11,,,,,,,,
TUFQET,13,6129002219,6116002131,2018-06-18,5B13002313,2019-01-11,,,,,,,,
ZRKGCS,13,5A29001355,6115001491,2018-12-03,6118002366,2019-01-11,,,,,,,,
UNPBWA,13,6118002712,6118003011,2018-09-03,5B13001483,2019-01-11,,,,,,,,
XEYTTT,13,5B20002340,5B13001281,2019-01-11,6111000173,2018-12-12,6115001119,2019-01-21,,,,,,
EXTRA,13,6116000840,6116001420,2019-01-11,,,,,,,,,,
SPARE,13,6116002131,6115001119,2019-01-11,,,,,,,,,,
BNQPNK,14,6111001829,6116001620,2018-06-07,6111001069,2019-01-11,,,,,,,,
YTXVCE,14,5B20000842,5B13001797,2019-01-11,,,,,,,,,,
RBTTGN,14,6111000703,6118003233,2019-01-11,,,,,,,,,,
PUURWH,14,6118002737,6115002009,2018-11-27,6118002737,2018-12-13,5A28002453,2018-12-31,6116002526,2019-01-11,6130000027,2019-01-22,5B12003815,2019-01-29
ACYQQH,14,6116000808,6118002643,2018-12-31,6109000540,2019-01-11,,,,,,,,
QHBZMV,14,5A27002025,6114000881,2019-01-11,,,,,,,,,,
MRKAUP,14,6116002302,6116002464,2019-01-11,,,,,,,,,,
KXTNWS,14,5A23002523,5A27000475,2019-01-11,,,,,,,,,,
EECSRE,14,6116002555,6118003287,2018-08-23,6118002367,2019-01-11,,,,,,,,
GYNSGC,14,6118001669,6118003262,2019-01-11,,,,,,,,,,
WKWXMY,14,5B20001393,6111000156,2019-01-11,,,,,,,,,,
ZNCNCG,14,5A28000367,6116002706,2019-01-11,,,,,,,,,,
SZMHWC,14,6115002153,5A27001520,2018-05-31,5B20002347,2018-09-04,5A27001520,2018-11-06,6116002406,2019-01-11,6118003156,2019-01-29,,
BMMGVG,14,6118002481,6116001463,2019-01-11,,,,,,,,,,
TKCSMR,14,6111001154,5B20002005,2018-11-22,6111002118,2019-01-11,6111001641,2019-02-07,,,,,,
SPARE,14,5A27001520,6130000027,2019-01-11,,,,,,,,,,
PSXAXE,15,6118003058,6115000424,2018-05-28,6116002629,2019-01-11,,,,,,,,
PEVSPR,15,6115000468,6116002755,2019-01-11,,,,,,,,,,
VKMGHT,15,5A28000828,5B13001814,2018-10-29,6127002893,2019-01-11,,,,,,,,
APVEZU,15,5B20001016,6129002119,2018-09-03,5B13001062,2019-01-11,,,,,,,,
KBTQQK,15,6118002184,5B12003367,2019-01-11,,,,,,,,,,
BKWNQH,15,6118003048,6115002205,2019-01-11,,,,,,,,,,
RWQPGE,15,6116002642,6111000801,2019-01-11,,,,,,,,,,
GSNSFY,15,6116002646,6116002370,2019-01-11,,,,,,,,,,
QSTHUQ,15,6111000637,5A29001262,2019-01-11,,,,,,,,,,
PUZPUF,15,5A27001498,5B13002126,2019-01-11,,,,,,,,,,
FPBZKF,15,6118003276,5B13002246,2019-01-11,,,,,,,,,,
SNCXAM,15,6116001087,5A29001337,2019-01-11,,,,,,,,,,
QPNEUP,15,6118002662,5B12002820,2019-01-11,,,,,,,,,,
ESZFRT,15,6118001750,5A27001571,2018-06-18,6112001104,2019-01-11,,,,,,,,
KHYBNQ,15,6111000532,6118002101,2019-01-11,,,,,,,,,,
EXTRA,15,5A27001942,6116001106,2018-10-29,5B12002593,2019-01-11,,,,,,,,
EXTRA,15,6111001700,5B13002426,2019-01-11,,,,,,,,,,
EXTRA,15,6111002108,6129002500,2018-07-23,5A27001431,2018-10-24,5B12003021,2019-01-11,,,,,,
SPARE,15,6115000424,5B13001066,2019-01-11,,,,,,,,,,
VYQHTA,16,5A27000218,6115001299,2018-09-04,5B20001016,2018-10-04,6116002436,2019-01-11,,,,,,
ZWBCAX,16,5A27001320,6116001833,2019-01-11,,,,,,,,,,
WKWTYS,16,6118002386,6116001838,2019-01-11,,,,,,,,,,
HTHWZK,16,6112000541,6116002246,2018-08-14,6118003216,2019-01-11,,,,,,,,
BQHSXP,16,5A27001473,6116001722,2019-01-11,,,,,,,,,,
NKCGWU,16,6116001388,6116002533,2019-01-11,,,,,,,,,,
RSXZYK,16,6116001342,6111001917,2018-05-21,6118002302,2018-06-26,6112001064,2018-08-14,6116002307,2019-01-11,,,,
HSHBXS,16,6111001334,6111001844,2018-06-26,6112001185,2019-01-11,,,,,,,,
SNZTKY,16,6115000406,6112001191,2019-01-11,,,,,,,,,,
BKCTHG,16,6115001580,5B12002995,2019-01-11,,,,,,,,,,
GTVYYC,16,6113000233,6118002407,2019-01-11,,,,,,,,,,
AGNHQR,16,6116001364,6116001576,2018-05-21,6116002064,2018-06-05,6116001928,2019-01-11,,,,,,
GVTFAF,16,6116002539,5B12004773,2019-01-11,,,,,,,,,,
WMEVWF,16,6128000920,5B13001168,2019-01-11,,,,,,,,,,
ZMEETT,16,5A28000007,6116001467,2018-07-31,5A21000031,2018-08-21,5B13002412,2018-09-04,6112001114,2019-01-11,,,,
GHWUNH,16,6116002736,5B13001001,2019-01-11,,,,,,,,,,
QCAEBY,16,5A28002687,6116002066,2019-01-11,,,,,,,,,,
EXTRA,16,5A28001202,6118003335,2019-01-11,,,,,,,,,,
EXTRA,16,6115001470,6130000879,2018-06-26,6112001125,2019-01-11,,,,,,,,
EXTRA,16,6111001886,5A28000139,2018-09-04,6115001155,2019-01-11,,,,,,,,
EXTRA,16,6116002384,5B13000770,2019-01-11,,,,,,,,,,
EXTRA,16,6116002324,6118003390,2019-01-11,,,,,,,,,,
SPARE,16,6116002064,5B13001548,2019-01-11,,,,,,,,,,
EYZQAP,17,6114000384,6114000052,2019-01-11,,,,,,,,,,
GHVZAC,17,6118002336,6116001523,2019-01-11,,,,,,,,,,
XUAMGR,17,6116002234,6111001973,2019-01-11,,,,,,,,,,
QZEXAR,17,6129002208,5A28000351,2019-01-11,,,,,,,,,,
NNABXZ,17,5A29001401,6116002862,2019-01-11,,,,,,,,,,
GVRPZG,17,6116001785,6116002514,2019-01-11,,,,,,,,,,
TCMVPK,17,6111001889,6116002718,2019-01-11,,,,,,,,,,
UEQFSV,17,6115001220,6114000112,2019-01-11,,,,,,,,,,
BEYQCX,17,6116002610,6118002870,2019-01-11,5B13001172,2019-02-20,,,,,,,,
MUGRAH,17,6118001532,6129001326,2018-10-17,5A28000286,2019-01-11,,,,,,,,
ZATAFV,17,6116001845,5A28000396,2018-10-30,5B20001324,2019-01-11,,,,,,,,
AHCPSK,17,5A28000051,6116002705,2019-01-11,,,,,,,,,,
NUTYFS,17,6111002017,6116001557,2019-01-11,,,,,,,,,,
BBREGT,17,5B04000012,6111001604,2018-09-26,5A28000396,2018-10-10,5B23001020,2019-01-11,,,,,,
FWPZVR,17,5B07003414,6111000622,2019-01-11,,,,,,,,,,
YWTECT,17,6116002387,6116002448,2019-01-11,6114000048,2019-02-05,,,,,,,,
TPKEKF,17,5A27001911,5A28000372,2019-01-11,,,,,,,,,,
SPARE,17,5A29000867,5A28000396,2018-09-26,6114000048,2019-01-11,,,,,,,,
NXHUGQ,18,6116001043,6116001901,2019-01-11,,,,,,,,,,
CKAQQK,18,6116000882,6116002343,2019-01-11,,,,,,,,,,
